TITLE,URL,SOLUTION SET,AUDIENCE,DESCRIPTION,TOOL TYPE,FORMAT,FREE,SCREENSHOTS,WHO1,RATING1,REASONS1,WHO2,RATING2,REASONS2,WHO3,RATING3,REASONS3
ABLEDATA,http://www.abledata.com,Positioning and Assistive Devices,General Audiences,"A U.S. government funded database whose mission is to provide information on assistive technology and rehabilitation equipment available from domestic and international sources. The database contains information on more than 29,000 assistive technology products with detailed descriptions of each product including price and company information. This includes information on devices for bathrooms.  Users can rate the products in the database, too.",Tool for Peer/HCP Interaction: Crowdsourcing tool,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/53.png,Jenny,5," Excellent website because you can search for various products, using different search terms.  ",John Shepherd,3,Very large database of products and devices; some information is dated,,,
Accessible Bathroom Designs,http://www.houzz.com/handicap-accessible-bathroom-designs,Positioning and Assistive Devices,General Audiences,"Houzz provides a wide range of design ideas for accessible home modifications, including for modifications of bathrooms.  Houzz also allows you to contact a variety of Canadian professionals with experience performing the various modifications that are illustrated on the website.  The website requires you to register in order to be able to contact professionals.",Tool for Peer or HCP Interaction: Messaging or Expert Advice,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/houzz1.png,Jenny,4, Very informative product website and I like how you can get reviews from other customers. ,John Shepherd,4,Lots of photos of accessible bathrooms,,,
Accessible Niagara,http://www.accessibleniagara.com/,Lifestyle Management: Travel,Persons in Wheelchairs,"This site provides information accessible restaurants, recreation and hotels in the Niagara, Ontario region.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/24.png,Virgil,4,"• Good work
• Basic hotel accessibility information
• Accessibility information incomplete at some hotels
• WEGO bus is accessible (I checked WEGO site)",John Shepherd,3,Useful accessibility information about the region,Jenny,2.75,"Excellent website for general overview of Niagara, especially for tourists with mobility disabilities but little relevance to bowel health.  "
Apparylized Bowel and Bladder Forum: Colostomy Discussions,http://www.apparelyzed.com/forums/,Medical Interventions,Persons with SCI,"Apparelyzed is an active and vibrant spinal cord injury and cauda equina syndrome support forum that includes discussions about many topics, including surgical interventions.  To participate in discussions, you must register for the site. ","Tool for Peer or HCP Interaction: Chat Room, Forum or Social Network",,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/Apparelyzed.png,Virgil,0,• Link doesn't work.,John Shepherd,3,Interesting personal perspectives,Jenny,3.5,Website contributes to ease of peer support and networking. 
Autonomic Dysreflexia,http://eprimarycare.onf.org/AutonomicDysreflexia.html,Recognizing/Coping with an Emergency,Persons with SCI,Discussion of Autononmic Dysreflexia and its relationship to bowel and bladder management.,Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/autondys2.png,Jenny,3,Source has well explained information.  ,John Shepherd,4,"Useful information, but designed for health care providers",,,
Autonomic Dysreflexia Wallet Card,http://www.christopherreeve.org/site/c.mtKZKgMWKwG/b.7745873/k.4E76/AD_Wallet_Card_Request/apps/ka/ct/contactus.asp?c=mtKZKgMWKwG&b=7745873&en=cdJzFGNmHdIDJIPnG4LzEJNmHiISKYOwHcJKJYNzFnKXG/,Recognizing/Coping with an Emergency,Persons with SCI,The Reeve Foundation's Autonomic Dysreflexia (AD) wallet card. It is important to become knowledgeable about AD if you have a spinal cord injury at the T6 level or above. AD can cause a medical emergency and even be life threatening.,Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/walletcard_0.png,Jenny,3,Very concise and easily accessible source. ,John Shepherd,5,"Useful wallet card on AD, good resources",,,
Bathrooms with Disability Access: Design Ideas,http://www.hgtv.com/remodel/bathroom-remodel/bathrooms-with-disability-access,Positioning and Assistive Devices,General Audiences,"HGTV provides a wide range of design ideas for accessible home modifications, including for modifications of bathrooms.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/bathroomwithdis.png,Jenny,1, Very general and not informative website. ,John Shepherd,3,A few suggestions on remodeling an accessible bathroom,,,
Bladder and Bowel Foundation: Bowel Problems,https://www.bladderandbowelfoundation.org/,"General Bowel Health Management (Defining a Routine, Defining Success)",General Audiences,"Provides bowel advice sheet, helpline to call, and a list of useful resources such as a Toilet Card.  This site is geared to anyone and everyone that experiences issues like fecal incontinence; it is not specifically targeted to people with SCI.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/65.png,Jenny,2.75,Extremely comprehensive source. ,John Shepherd,2,Not specific to SCI,,,
Bowel Care after SCI,http://www.myshepherdconnection.org/sci/bowel-care,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,A website published by the Shephard Center in the US with information about bowel management after SCI and a variety of possible interventions/strategies that may positively effect bowel care.,Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/Shepherd.png,Jenny,3.25,Very concise description of the topic. ,John Shepherd,5,"Excellent, detailed information; designed for patients",,,
Bowel Management after Spinal Cord Injury,http://www.sci-info-pages.com/bowel.html,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,"A basic overview of bowel care after SCI with management tips. Website also provides links to services and other resources, like providers of assistive devices.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/51.png,Jenny,4,Contains clear and easily understood information. ,John Shepherd,4,Very good overview,,,
